event_id,customer_id,event_type,event_time,campaign
80097,1659,click,2025-03-05,Reactivation
80098,1315,sent,2025-07-14,Welcome
80099,1317,sent,2025-07-18,Welcome
80100,1032,sent,2025-06-03,Promo_Q1
80101,1557,open,2024-01-12,Reactivation
80102,1419,open,2024-05-18,Promo_Q2
80103,1438,open,2024-03-20,Webinar
80104,1744,open,2025-01-04,Reactivation
80105,1130,sent,2025-05-05,Webinar
80106,1737,sent,2024-11-25,Promo_Q2
80107,1673,sent,2024-07-19,Promo_Q2
80108,1791,unsubscribe,2025-06-10,Webinar
80109,1738,click,2024-10-18,Webinar
80110,1618,click,2024-04-10,Webinar
80111,1581,sent,2024-11-03,Promo_Q2
80112,1208,sent,2024-01-11,Promo_Q2
80113,1199,sent,2024-01-23,Promo_Q2
80114,1649,click,2024-12-28,Reactivation
80115,1244,unsubscribe,2025-02-21,Webinar
80116,1361,open,2024-03-20,Reactivation
80117,1088,open,2024-11-03,Promo_Q1
80118,1561,sent,2025-03-21,Promo_Q2
80119,1026,click,2025-05-24,Reactivation
80120,1224,open,2024-09-30,Promo_Q2
80121,1491,click,2024-03-11,Welcome
80122,1283,open,2024-02-09,Webinar
80123,1511,sent,2025-05-09,Promo_Q2
80124,1169,open,2024-02-14,Webinar
80125,1339,sent,2025-04-16,Reactivation
80126,1390,open,2024-09-09,Welcome
80127,1211,sent,2024-09-08,Webinar
80128,1107,sent,2024-10-26,Promo_Q1
80129,1317,sent,2024-03-19,Promo_Q2
80130,1322,click,2025-03-04,Webinar
80131,1205,open,2024-06-22,Promo_Q1
80132,1224,click,2024-12-10,Webinar
80133,1043,sent,2024-01-04,Reactivation
80134,1619,sent,2024-06-11,Promo_Q2
80135,1062,click,2024-01-24,Promo_Q2
80136,1013,open,2024-06-29,Promo_Q1
80137,1478,sent,2024-03-13,Welcome
80138,1083,click,2024-02-10,Welcome
80139,1792,unsubscribe,2025-05-04,Promo_Q1
80140,1374,open,2024-07-29,Webinar
80141,1589,open,2025-04-21,Welcome
80142,1095,sent,2025-05-30,Promo_Q2
80143,1678,click,2024-10-18,Promo_Q1
80144,1520,sent,2024-11-23,Promo_Q1
80145,1670,click,2025-01-08,Promo_Q2
80146,1531,open,2025-01-06,Welcome
80147,1286,sent,2024-11-01,Reactivation
80148,1567,sent,2024-12-08,Promo_Q1
80149,1174,open,2024-09-11,Webinar
80150,1166,sent,2025-06-12,Promo_Q1
80151,1273,click,2025-02-20,Reactivation
80152,1354,sent,2024-06-30,Promo_Q2
80153,1443,open,2024-07-12,Welcome
80154,1549,open,2024-09-19,Promo_Q2
80155,1372,open,2024-01-19,Promo_Q2
80156,1450,open,2025-07-26,Welcome
80157,1042,sent,2024-09-26,Promo_Q2
80158,1255,open,2025-03-23,Promo_Q2
80159,1065,sent,2024-04-01,Promo_Q1
80160,1473,sent,2024-12-17,Webinar
80161,1336,sent,2024-08-08,Welcome
80162,1606,open,2025-05-28,Promo_Q1
80163,1010,sent,2025-06-22,Reactivation
80164,1692,sent,2024-12-26,Promo_Q1
80165,1792,sent,2024-02-05,Promo_Q1
80166,1021,sent,2024-09-26,Promo_Q2
80167,1180,click,2024-01-10,Webinar
80168,1359,click,2024-10-25,Promo_Q1
80169,1079,sent,2024-10-16,Reactivation
80170,1133,open,2024-08-28,Promo_Q2
80171,1676,click,2024-07-13,Promo_Q1
80172,1627,sent,2024-11-30,Reactivation
80173,1790,open,2024-04-12,Welcome
80174,1392,click,2024-01-16,Promo_Q1
80175,1564,open,2025-03-29,Welcome
80176,1385,click,2025-03-29,Welcome
80177,1084,sent,2024-11-30,Reactivation
80178,1796,click,2025-04-23,Promo_Q2
80179,1287,click,2024-10-22,Webinar
80180,1152,click,2024-01-04,Webinar
80181,1254,sent,2024-03-26,Promo_Q1
80182,1301,open,2024-09-22,Reactivation
80183,1391,open,2025-05-12,Welcome
80184,1130,open,2024-05-10,Promo_Q1
80185,1457,sent,2024-01-20,Promo_Q2
80186,1575,sent,2024-08-26,Webinar
80187,1553,sent,2024-02-08,Webinar
80188,1089,open,2024-11-13,Welcome
80189,1791,open,2024-02-02,Promo_Q1
80190,1690,sent,2024-01-10,Promo_Q1
80191,1330,sent,2025-06-28,Webinar
80192,1471,click,2025-01-18,Promo_Q2
80193,1673,sent,2024-03-09,Reactivation
80194,1043,sent,2024-11-16,Welcome
80195,1467,sent,2024-05-29,Webinar
80196,1055,sent,2025-03-15,Webinar
80197,1051,sent,2025-04-14,Promo_Q1
80198,1354,sent,2024-10-19,Welcome
80199,1677,open,2024-08-24,Webinar
80200,1575,open,2024-07-02,Webinar
80201,1249,open,2024-01-19,Webinar
80202,1327,sent,2024-11-19,Welcome
80203,1107,open,2024-10-20,Webinar
80204,1177,sent,2024-05-02,Webinar
80205,1129,click,2024-11-02,Promo_Q1
80206,1767,sent,2024-09-26,Promo_Q2
80207,1193,unsubscribe,2024-05-30,Reactivation
80208,1425,open,2025-03-04,Welcome
80209,1094,open,2024-05-21,Reactivation
80210,1434,open,2024-09-17,Webinar
80211,1096,sent,2024-11-03,Promo_Q2
80212,1689,open,2025-04-13,Promo_Q1
80213,1559,click,2024-08-30,Promo_Q1
80214,1639,open,2024-04-29,Welcome
80215,1778,unsubscribe,2024-01-09,Promo_Q2
80216,1300,sent,2024-05-25,Welcome
80217,1752,open,2025-03-09,Promo_Q1
80218,1737,open,2025-04-18,Webinar
80219,1365,sent,2024-12-12,Welcome
80220,1516,sent,2025-07-01,Promo_Q2
80221,1576,click,2024-10-28,Welcome
80222,1404,open,2024-10-03,Promo_Q1
80223,1236,click,2025-04-25,Welcome
80224,1765,open,2024-04-06,Webinar
80225,1681,open,2024-01-09,Promo_Q1
80226,1542,sent,2025-05-23,Welcome
80227,1071,open,2024-11-04,Reactivation
80228,1742,sent,2025-03-05,Reactivation
80229,1350,open,2024-12-28,Promo_Q1
80230,1648,click,2025-01-18,Webinar
80231,1085,click,2024-12-04,Promo_Q2
80232,1498,open,2025-02-22,Webinar
80233,1365,sent,2024-03-06,Welcome
80234,1327,sent,2024-05-24,Promo_Q1
80235,1492,sent,2024-10-03,Reactivation
80236,1709,open,2025-02-17,Promo_Q2
80237,1160,click,2024-06-27,Promo_Q1
80238,1208,click,2025-04-10,Promo_Q1
80239,1552,open,2024-02-07,Promo_Q1
80240,1190,click,2025-04-01,Welcome
80241,1730,click,2025-02-07,Reactivation
80242,1667,sent,2024-02-07,Reactivation
80243,1502,open,2024-01-19,Reactivation
80244,1123,sent,2025-04-29,Promo_Q2
80245,1732,sent,2024-03-24,Welcome
80246,1105,open,2024-05-26,Webinar
80247,1591,click,2025-06-01,Reactivation
80248,1199,open,2024-07-16,Webinar
80249,1212,click,2024-11-02,Promo_Q1
80250,1525,open,2024-01-18,Promo_Q1
80251,1285,sent,2024-11-24,Promo_Q1
80252,1324,sent,2025-02-15,Reactivation
80253,1467,sent,2024-11-22,Promo_Q1
80254,1138,click,2025-04-11,Welcome
80255,1356,click,2025-03-24,Promo_Q1
80256,1076,sent,2024-10-03,Reactivation
80257,1698,click,2025-01-07,Welcome
80258,1726,open,2024-06-08,Reactivation
80259,1411,sent,2024-07-25,Promo_Q1
80260,1355,unsubscribe,2024-12-24,Welcome
80261,1698,sent,2025-01-16,Promo_Q1
80262,1721,open,2024-02-19,Welcome
80263,1070,open,2025-04-17,Webinar
80264,1557,click,2025-01-02,Welcome
80265,1178,click,2024-07-07,Webinar
80266,1688,open,2024-05-10,Promo_Q1
80267,1270,open,2024-12-13,Welcome
80268,1684,open,2025-02-05,Reactivation
80269,1244,sent,2025-06-19,Welcome
80270,1156,sent,2024-04-16,Welcome
80271,1189,click,2024-10-17,Welcome
80272,1199,sent,2025-07-05,Promo_Q2
80273,1075,open,2025-06-08,Reactivation
80274,1545,sent,2024-10-02,Welcome
80275,1707,sent,2024-11-14,Welcome
80276,1093,open,2025-06-12,Promo_Q1
80277,1646,open,2024-01-19,Reactivation
80278,1192,open,2025-07-17,Welcome
80279,1106,open,2025-07-17,Welcome
80280,1438,sent,2025-06-28,Welcome
80281,1231,open,2025-07-11,Webinar
80282,1299,sent,2024-06-24,Promo_Q2
80283,1028,sent,2024-01-22,Reactivation
80284,1314,sent,2024-06-13,Webinar
80285,1527,sent,2024-07-18,Welcome
80286,1664,sent,2024-07-22,Reactivation
80287,1363,sent,2025-01-27,Webinar
80288,1370,sent,2025-05-13,Promo_Q2
80289,1090,sent,2024-05-08,Webinar
80290,1702,open,2024-09-15,Promo_Q1
80291,1705,open,2024-08-06,Welcome
80292,1538,unsubscribe,2025-03-17,Webinar
80293,1622,click,2024-07-02,Promo_Q2
80294,1351,unsubscribe,2024-02-02,Welcome
80295,1445,open,2024-07-11,Promo_Q1
80296,1129,sent,2024-07-23,Promo_Q1
80297,1082,click,2025-04-19,Webinar
80298,1209,open,2024-11-12,Welcome
80299,1046,open,2024-10-29,Webinar
80300,1492,click,2024-12-11,Promo_Q1
80301,1001,open,2024-11-19,Reactivation
80302,1563,open,2025-01-28,Webinar
80303,1164,sent,2025-06-05,Reactivation
80304,1459,sent,2025-05-20,Welcome
80305,1611,open,2024-10-12,Promo_Q1
80306,1798,open,2025-05-03,Webinar
80307,1258,click,2025-05-12,Webinar
80308,1100,click,2025-03-31,Webinar
80309,1537,unsubscribe,2024-01-25,Welcome
80310,1147,click,2025-01-17,Welcome
80311,1755,open,2024-06-29,Promo_Q2
80312,1583,open,2025-05-18,Webinar
80313,1014,click,2024-06-12,Welcome
80314,1430,sent,2025-06-14,Promo_Q1
80315,1293,sent,2024-12-20,Welcome
80316,1798,click,2025-01-07,Welcome
80317,1718,click,2025-05-27,Webinar
80318,1269,click,2025-07-22,Reactivation
80319,1455,sent,2024-06-27,Promo_Q1
80320,1338,sent,2024-02-21,Reactivation
80321,1436,sent,2025-02-21,Promo_Q2
80322,1585,sent,2024-02-10,Webinar
80323,1087,sent,2024-11-04,Reactivation
80324,1351,sent,2024-07-18,Welcome
80325,1424,open,2024-08-13,Welcome
80326,1678,sent,2024-05-15,Promo_Q2
80327,1231,click,2025-02-07,Promo_Q2
80328,1704,open,2024-11-25,Promo_Q1
80329,1568,sent,2025-07-03,Promo_Q1
80330,1215,click,2024-07-24,Webinar
80331,1699,click,2024-08-15,Promo_Q2
80332,1608,click,2024-04-05,Webinar
80333,1757,open,2024-12-18,Reactivation
80334,1679,click,2024-02-24,Promo_Q1
80335,1448,open,2025-07-12,Webinar
80336,1771,sent,2025-06-09,Promo_Q2
80337,1136,open,2025-02-07,Reactivation
80338,1719,open,2024-07-02,Promo_Q1
80339,1761,open,2024-07-24,Webinar
80340,1254,open,2024-02-20,Promo_Q2
80341,1329,sent,2024-05-22,Webinar
80342,1528,sent,2024-07-22,Promo_Q1
80343,1794,open,2024-09-15,Reactivation
80344,1501,sent,2024-09-24,Welcome
80345,1672,sent,2025-05-25,Reactivation
80346,1264,sent,2024-09-16,Webinar
80347,1373,sent,2025-07-06,Webinar
80348,1060,open,2024-02-18,Welcome
80349,1458,sent,2024-05-01,Webinar
80350,1780,open,2024-08-11,Reactivation
80351,1460,sent,2025-05-27,Promo_Q1
80352,1699,click,2024-03-11,Reactivation
80353,1187,sent,2024-07-23,Reactivation
80354,1377,sent,2024-03-05,Reactivation
80355,1414,open,2025-03-22,Promo_Q1
80356,1044,open,2024-06-11,Webinar
80357,1479,open,2024-09-07,Reactivation
80358,1166,click,2025-04-16,Promo_Q1
80359,1153,sent,2024-04-06,Webinar
80360,1152,open,2025-06-30,Promo_Q1
80361,1097,sent,2024-08-15,Promo_Q1
80362,1701,sent,2024-07-09,Reactivation
80363,1137,open,2024-04-20,Welcome
80364,1217,sent,2024-09-26,Reactivation
80365,1340,sent,2025-07-19,Promo_Q1
80366,1209,open,2024-10-10,Promo_Q1
80367,1052,sent,2024-09-17,Promo_Q1
80368,1198,open,2024-01-05,Promo_Q2
80369,1448,sent,2024-06-14,Reactivation
80370,1548,click,2024-05-11,Welcome
80371,1105,open,2024-01-23,Webinar
80372,1360,open,2024-09-14,Welcome
80373,1524,open,2024-03-19,Welcome
80374,1680,open,2024-10-17,Promo_Q2
80375,1478,sent,2024-09-19,Promo_Q1
80376,1214,click,2024-05-08,Welcome
80377,1554,open,2025-04-05,Promo_Q1
80378,1349,open,2025-06-18,Reactivation
80379,1472,click,2024-03-18,Promo_Q1
80380,1067,sent,2024-02-26,Promo_Q1
80381,1169,sent,2024-07-17,Reactivation
80382,1152,sent,2024-12-18,Reactivation
80383,1474,click,2024-12-30,Welcome
80384,1197,sent,2024-12-26,Promo_Q2
80385,1013,click,2024-11-28,Webinar
80386,1741,click,2024-08-10,Reactivation
80387,1162,open,2025-03-27,Reactivation
80388,1615,sent,2025-07-04,Webinar
80389,1643,sent,2024-12-06,Promo_Q1
80390,1608,sent,2024-05-06,Reactivation
80391,1728,click,2024-11-20,Webinar
80392,1713,sent,2025-03-11,Welcome
80393,1643,unsubscribe,2025-04-23,Promo_Q2
80394,1486,sent,2025-02-18,Reactivation
80395,1714,unsubscribe,2025-05-28,Webinar
80396,1788,sent,2025-07-03,Reactivation
80397,1332,sent,2024-10-10,Promo_Q1
80398,1048,sent,2024-11-08,Reactivation
80399,1555,sent,2024-07-13,Reactivation
80400,1593,open,2025-01-15,Promo_Q1
80401,1068,open,2024-12-09,Reactivation
80402,1234,sent,2024-04-13,Promo_Q1
80403,1241,sent,2025-02-04,Webinar
80404,1456,unsubscribe,2025-04-09,Promo_Q2
80405,1711,sent,2024-04-14,Promo_Q2
80406,1695,sent,2024-04-04,Webinar
80407,1210,open,2025-01-03,Welcome
80408,1154,open,2024-03-08,Welcome
80409,1159,sent,2025-04-12,Promo_Q2
80410,1182,sent,2025-01-05,Webinar
80411,1184,unsubscribe,2024-01-19,Reactivation
80412,1568,click,2025-03-20,Webinar
80413,1639,open,2024-10-21,Promo_Q1
80414,1565,sent,2024-10-13,Webinar
80415,1200,click,2024-06-28,Welcome
80416,1546,click,2024-06-12,Reactivation
80417,1046,open,2024-10-15,Reactivation
80418,1720,open,2024-01-02,Promo_Q2
80419,1340,click,2025-04-03,Promo_Q1
80420,1562,sent,2025-03-28,Reactivation
80421,1709,sent,2025-02-28,Promo_Q2
80422,1496,click,2024-12-13,Reactivation
80423,1523,open,2024-06-19,Welcome
80424,1231,click,2025-01-14,Reactivation
80425,1086,open,2024-03-15,Welcome
80426,1146,sent,2024-05-31,Webinar
80427,1671,sent,2024-01-27,Welcome
80428,1318,sent,2025-05-10,Welcome
80429,1535,click,2025-04-22,Welcome
80430,1360,click,2024-09-17,Reactivation
80431,1181,click,2024-09-09,Promo_Q1
80432,1574,open,2025-06-18,Welcome
80433,1074,sent,2025-01-24,Promo_Q2
80434,1529,sent,2025-02-13,Reactivation
80435,1255,sent,2024-07-26,Promo_Q1
80436,1365,click,2024-06-17,Promo_Q1
80437,1264,sent,2024-03-06,Reactivation
80438,1185,click,2024-02-11,Promo_Q2
80439,1432,click,2025-06-06,Webinar
80440,1693,sent,2025-06-06,Reactivation
80441,1488,click,2024-05-10,Promo_Q1
80442,1730,click,2024-01-22,Webinar
80443,1106,open,2024-07-18,Promo_Q1
80444,1434,open,2025-07-03,Welcome
80445,1567,open,2024-06-25,Webinar
80446,1137,open,2025-05-14,Reactivation
80447,1288,open,2025-04-16,Reactivation
80448,1343,click,2025-06-28,Promo_Q2
80449,1352,sent,2024-10-13,Webinar
80450,1569,sent,2025-06-15,Promo_Q2
80451,1612,open,2025-03-04,Reactivation
80452,1005,sent,2025-05-15,Promo_Q2
80453,1624,unsubscribe,2025-02-27,Webinar
80454,1449,open,2024-09-23,Reactivation
80455,1498,open,2025-06-14,Promo_Q1
80456,1607,click,2025-04-06,Reactivation
80457,1223,sent,2025-01-04,Promo_Q2
80458,1698,sent,2024-10-05,Promo_Q2
80459,1137,click,2024-02-24,Reactivation
80460,1737,open,2025-04-15,Welcome
80461,1763,click,2024-08-28,Welcome
80462,1538,unsubscribe,2024-07-26,Welcome
80463,1703,sent,2024-05-13,Promo_Q1
80464,1194,open,2024-11-08,Promo_Q1
80465,1337,click,2025-04-23,Promo_Q1
80466,1006,sent,2024-06-16,Reactivation
80467,1732,open,2025-06-15,Reactivation
80468,1213,sent,2024-08-17,Webinar
80469,1587,open,2025-07-13,Welcome
80470,1505,sent,2025-01-25,Webinar
80471,1676,open,2024-07-30,Welcome
80472,1231,click,2025-07-21,Promo_Q2
80473,1752,click,2024-12-08,Webinar
80474,1091,click,2025-03-19,Reactivation
80475,1625,sent,2024-09-17,Promo_Q2
80476,1340,open,2024-03-09,Webinar
80477,1642,open,2025-07-10,Promo_Q2
80478,1613,sent,2024-07-04,Promo_Q2
80479,1539,sent,2025-06-13,Promo_Q2
80480,1530,sent,2025-06-07,Reactivation
80481,1717,sent,2024-02-24,Promo_Q2
80482,1210,click,2024-03-07,Reactivation
80483,1380,open,2024-12-19,Promo_Q1
80484,1011,click,2024-01-21,Promo_Q2
80485,1516,sent,2024-08-31,Welcome
80486,1615,sent,2024-10-31,Reactivation
80487,1717,click,2024-04-23,Promo_Q1
80488,1595,open,2025-03-20,Reactivation
80489,1555,open,2024-09-06,Promo_Q2
80490,1764,open,2024-09-01,Reactivation
80491,1551,sent,2024-05-15,Webinar
80492,1665,click,2025-05-27,Webinar
80493,1755,open,2024-01-07,Welcome
80494,1084,unsubscribe,2024-01-04,Reactivation
80495,1337,click,2025-07-28,Promo_Q2
80496,1055,open,2024-01-13,Promo_Q2
80497,1321,open,2024-03-30,Webinar
80498,1093,click,2025-05-24,Reactivation
80499,1108,click,2024-12-21,Promo_Q2
80500,1350,sent,2024-12-26,Promo_Q1
80501,1409,sent,2024-10-01,Promo_Q2
80502,1732,click,2024-03-27,Reactivation
80503,1549,sent,2024-07-30,Webinar
80504,1746,open,2025-02-18,Promo_Q1
80505,1634,click,2024-10-07,Promo_Q2
80506,1587,sent,2025-02-25,Welcome
80507,1208,open,2024-01-05,Welcome
80508,1489,click,2025-01-13,Webinar
80509,1073,sent,2024-12-08,Promo_Q1
80510,1091,open,2025-07-16,Welcome
80511,1448,open,2025-06-07,Welcome
80512,1235,click,2024-12-12,Promo_Q2
80513,1726,open,2024-11-28,Reactivation
80514,1580,sent,2024-02-23,Promo_Q2
80515,1224,sent,2025-06-26,Promo_Q2
80516,1216,sent,2025-02-11,Webinar
80517,1166,open,2024-10-16,Promo_Q2
80518,1434,sent,2025-05-09,Promo_Q1
80519,1061,open,2025-02-25,Promo_Q1
80520,1796,sent,2024-11-21,Reactivation
80521,1070,sent,2024-11-07,Welcome
80522,1543,open,2025-06-18,Welcome
80523,1185,sent,2025-04-06,Reactivation
80524,1127,open,2024-08-20,Reactivation
80525,1650,sent,2024-12-28,Promo_Q2
80526,1140,sent,2024-04-23,Webinar
80527,1263,sent,2025-06-22,Welcome
80528,1600,open,2025-02-05,Welcome
80529,1156,click,2025-07-07,Reactivation
80530,1331,click,2024-06-17,Reactivation
80531,1480,open,2024-06-30,Welcome
80532,1788,sent,2025-04-25,Welcome
80533,1632,sent,2024-05-31,Promo_Q2
80534,1321,sent,2024-07-25,Welcome
80535,1164,sent,2025-05-25,Reactivation
80536,1326,sent,2024-10-25,Promo_Q1
80537,1138,sent,2024-06-22,Promo_Q1
80538,1743,sent,2024-08-24,Promo_Q1
80539,1202,sent,2025-02-14,Promo_Q2
80540,1090,sent,2024-04-01,Promo_Q1
80541,1745,sent,2025-07-09,Webinar
80542,1449,click,2024-10-11,Webinar
80543,1586,unsubscribe,2025-03-17,Promo_Q2
80544,1446,open,2025-02-09,Promo_Q1
80545,1482,click,2025-01-27,Reactivation
80546,1677,open,2024-08-30,Promo_Q2
80547,1653,open,2024-01-25,Welcome
80548,1358,sent,2025-03-03,Promo_Q2
80549,1600,sent,2025-07-04,Webinar
80550,1019,sent,2024-10-18,Reactivation
80551,1030,sent,2025-07-04,Promo_Q1
80552,1214,sent,2024-11-04,Webinar
80553,1416,sent,2024-04-06,Promo_Q1
80554,1764,open,2024-05-18,Promo_Q1
80555,1168,open,2025-05-13,Promo_Q2
80556,1655,sent,2024-12-24,Promo_Q2
80557,1710,open,2024-08-27,Webinar
80558,1356,sent,2025-04-06,Promo_Q1
80559,1364,sent,2025-01-05,Promo_Q2
80560,1336,open,2025-05-18,Webinar
80561,1085,unsubscribe,2025-07-14,Promo_Q1
80562,1104,click,2025-01-10,Welcome
80563,1118,open,2025-07-14,Welcome
80564,1038,sent,2024-09-28,Webinar
80565,1483,sent,2025-04-29,Welcome
80566,1481,open,2025-06-07,Reactivation
80567,1136,sent,2024-01-27,Webinar
80568,1076,open,2025-05-14,Webinar
80569,1295,click,2024-08-23,Promo_Q1
80570,1316,click,2024-08-17,Reactivation
80571,1497,open,2025-03-26,Webinar
80572,1621,click,2024-05-22,Promo_Q2
80573,1568,open,2024-01-19,Webinar
80574,1018,sent,2024-06-05,Reactivation
80575,1432,sent,2025-01-09,Webinar
80576,1616,sent,2025-07-04,Welcome
80577,1149,click,2024-08-16,Reactivation
80578,1440,open,2025-04-05,Promo_Q2
80579,1219,open,2024-04-25,Reactivation
80580,1006,click,2025-05-06,Webinar
80581,1671,open,2025-03-17,Promo_Q2
80582,1610,click,2024-09-15,Promo_Q2
80583,1251,sent,2025-05-31,Promo_Q2
80584,1061,click,2024-01-22,Welcome
80585,1479,click,2025-03-29,Reactivation
80586,1068,click,2024-01-21,Webinar
80587,1441,open,2025-05-14,Welcome
80588,1253,sent,2024-04-12,Promo_Q2
80589,1624,sent,2024-01-23,Webinar
80590,1529,sent,2024-06-27,Promo_Q1
80591,1669,open,2024-04-13,Webinar
80592,1067,sent,2025-01-11,Promo_Q1
80593,1515,open,2024-09-29,Promo_Q1
80594,1615,open,2024-03-15,Promo_Q2
80595,1155,sent,2025-06-12,Promo_Q1
80596,1513,sent,2024-07-31,Welcome
80597,1335,sent,2024-06-12,Promo_Q2
80598,1388,sent,2025-02-06,Promo_Q1
80599,1004,open,2024-08-15,Reactivation
80600,1380,sent,2024-03-24,Welcome
80601,1715,sent,2024-12-02,Reactivation
80602,1033,click,2024-01-18,Webinar
80603,1011,click,2024-12-27,Welcome
80604,1716,sent,2025-05-15,Reactivation
80605,1719,click,2024-05-31,Reactivation
80606,1509,click,2025-05-06,Promo_Q2
80607,1185,open,2024-05-21,Webinar
80608,1154,sent,2024-04-26,Welcome
80609,1694,sent,2025-02-16,Welcome
80610,1512,click,2024-02-07,Welcome
80611,1667,open,2024-01-24,Promo_Q1
80612,1228,open,2024-09-20,Welcome
80613,1475,click,2024-01-20,Promo_Q1
80614,1102,open,2024-10-13,Promo_Q2
80615,1694,sent,2025-01-09,Promo_Q1
80616,1258,click,2024-05-11,Webinar
80617,1777,sent,2025-06-02,Promo_Q1
80618,1072,sent,2024-04-25,Webinar
80619,1499,sent,2024-05-17,Webinar
80620,1360,click,2025-06-10,Webinar
80621,1241,click,2025-01-31,Webinar
80622,1115,sent,2024-11-01,Welcome
80623,1577,sent,2024-07-09,Webinar
80624,1789,sent,2025-03-19,Reactivation
80625,1410,open,2024-12-05,Promo_Q2
80626,1655,open,2024-07-16,Reactivation
80627,1427,sent,2025-04-21,Welcome
80628,1729,sent,2025-04-03,Webinar
80629,1679,click,2025-06-26,Promo_Q1
80630,1528,sent,2025-07-28,Welcome
80631,1547,sent,2024-01-07,Promo_Q2
80632,1791,open,2024-07-03,Promo_Q1
80633,1140,open,2024-04-21,Promo_Q1
80634,1752,sent,2024-05-03,Webinar
80635,1308,open,2025-05-13,Promo_Q2
80636,1787,sent,2025-07-16,Promo_Q2
