interaction_id,customer_id,date,type,owner
70088,1455,2024-11-25,meeting,Rep_B
70089,1041,2024-03-29,email,Rep_D
70090,1129,2025-05-06,call,Rep_A
70091,1054,2024-07-08,chat,Rep_A
70092,1086,2024-07-30,email,Rep_B
70093,1724,2024-08-30,email,Rep_D
70094,1269,2024-07-05,call,Rep_B
70095,1296,2024-11-17,email,Rep_A
70096,1021,2024-08-12,email,Rep_A
70097,1215,2024-05-29,meeting,Rep_B
70098,1425,2025-06-05,call,Rep_B
70099,1189,2024-06-26,email,Rep_B
70100,1161,2025-02-07,email,Rep_C
70101,1713,2024-07-19,call,Rep_D
70102,1541,2024-09-08,email,Rep_D
70103,1381,2024-05-16,call,Rep_D
70104,1244,2025-03-10,call,Rep_A
70105,1183,2025-03-01,email,Rep_D
70106,1544,2024-01-13,chat,Rep_D
70107,1779,2024-02-04,chat,Rep_A
70108,1548,2025-06-16,email,Rep_A
70109,1093,2025-05-27,email,Rep_C
70110,1368,2024-10-19,email,Rep_A
70111,1159,2024-10-11,email,Rep_B
70112,1398,2025-04-13,email,Rep_C
70113,1180,2024-03-20,email,Rep_A
70114,1438,2025-01-12,email,Rep_D
70115,1373,2024-10-01,email,Rep_C
70116,1306,2025-03-04,email,Rep_C
70117,1379,2024-01-18,email,Rep_D
70118,1218,2024-12-08,email,Rep_D
70119,1329,2024-11-17,email,Rep_D
70120,1343,2025-04-30,chat,Rep_B
70121,1739,2025-01-25,email,Rep_C
70122,1724,2025-05-22,chat,Rep_B
70123,1163,2025-05-26,email,Rep_B
70124,1158,2024-08-23,call,Rep_D
70125,1110,2024-03-20,email,Rep_A
70126,1567,2024-12-29,meeting,Rep_B
70127,1350,2025-05-19,email,Rep_A
70128,1726,2024-02-13,chat,Rep_A
70129,1365,2024-11-17,email,Rep_D
70130,1015,2024-03-07,email,Rep_A
70131,1153,2024-01-16,email,Rep_B
70132,1532,2025-01-27,call,Rep_A
70133,1400,2025-01-28,chat,Rep_B
70134,1052,2024-12-12,email,Rep_D
70135,1469,2025-05-10,call,Rep_B
70136,1321,2024-02-16,call,Rep_A
70137,1596,2024-03-01,call,Rep_B
70138,1367,2025-05-13,call,Rep_A
70139,1486,2024-10-17,email,Rep_A
70140,1736,2024-06-06,email,Rep_D
70141,1641,2025-03-01,call,Rep_A
70142,1016,2025-05-31,email,Rep_C
70143,1411,2025-02-01,meeting,Rep_B
70144,1274,2025-04-01,meeting,Rep_C
70145,1589,2024-06-12,meeting,Rep_C
70146,1306,2024-06-15,email,Rep_B
70147,1092,2025-05-13,email,Rep_D
70148,1458,2024-12-20,email,Rep_B
70149,1270,2024-05-15,chat,Rep_D
70150,1052,2024-10-29,email,Rep_A
70151,1121,2025-01-30,email,Rep_C
70152,1050,2024-05-06,email,Rep_B
70153,1475,2025-01-12,email,Rep_A
70154,1492,2024-01-25,email,Rep_B
70155,1785,2024-06-24,email,Rep_B
70156,1380,2025-01-23,email,Rep_A
70157,1632,2024-03-27,chat,Rep_B
70158,1387,2024-05-08,call,Rep_A
70159,1607,2025-05-22,call,Rep_C
70160,1661,2025-01-24,email,Rep_A
70161,1289,2024-10-14,meeting,Rep_B
70162,1769,2024-05-01,chat,Rep_C
70163,1454,2024-07-15,chat,Rep_C
70164,1371,2024-11-27,email,Rep_A
70165,1184,2024-03-30,meeting,Rep_D
70166,1772,2024-10-04,email,Rep_A
70167,1662,2024-08-23,email,Rep_D
70168,1205,2024-10-02,email,Rep_A
70169,1172,2024-03-01,call,Rep_C
70170,1222,2024-03-02,call,Rep_A
70171,1168,2025-07-10,email,Rep_D
70172,1244,2025-07-19,call,Rep_B
70173,1218,2024-09-02,email,Rep_D
70174,1056,2025-03-31,email,Rep_C
70175,1575,2025-01-13,email,Rep_A
70176,1615,2024-03-08,email,Rep_C
70177,1167,2024-06-20,email,Rep_B
70178,1519,2024-06-29,email,Rep_B
70179,1142,2024-12-09,chat,Rep_B
70180,1125,2024-11-30,meeting,Rep_A
70181,1090,2025-06-16,email,Rep_D
70182,1311,2025-03-31,call,Rep_A
70183,1371,2025-05-09,email,Rep_C
70184,1216,2025-05-29,email,Rep_A
70185,1441,2025-04-07,email,Rep_C
70186,1635,2024-07-11,email,Rep_A
70187,1186,2024-05-04,email,Rep_D
70188,1153,2024-11-25,email,Rep_B
70189,1761,2025-02-01,email,Rep_A
70190,1626,2024-08-11,chat,Rep_D
70191,1096,2025-05-04,chat,Rep_A
70192,1710,2025-07-08,chat,Rep_A
70193,1336,2024-11-24,chat,Rep_B
70194,1515,2024-09-20,email,Rep_C
70195,1149,2025-05-01,call,Rep_D
70196,1623,2024-01-15,email,Rep_A
70197,1532,2024-03-15,meeting,Rep_B
70198,1715,2025-05-02,meeting,Rep_A
70199,1402,2025-02-26,email,Rep_A
70200,1694,2024-08-28,email,Rep_B
70201,1331,2025-05-27,email,Rep_A
70202,1227,2024-07-21,email,Rep_A
70203,1358,2024-12-31,chat,Rep_D
70204,1588,2025-01-01,meeting,Rep_D
70205,1316,2024-04-16,email,Rep_D
70206,1735,2024-06-13,email,Rep_A
70207,1036,2025-06-12,email,Rep_A
70208,1509,2024-04-15,chat,Rep_D
70209,1478,2024-04-10,chat,Rep_A
70210,1428,2024-10-03,call,Rep_B
70211,1450,2024-02-23,call,Rep_B
70212,1090,2025-05-31,call,Rep_A
70213,1541,2024-02-27,email,Rep_A
70214,1176,2024-12-21,chat,Rep_C
70215,1420,2024-07-15,email,Rep_B
70216,1732,2025-04-09,email,Rep_A
70217,1648,2024-12-06,email,Rep_C
70218,1687,2024-08-12,call,Rep_B
70219,1638,2025-07-21,email,Rep_C
70220,1171,2024-02-08,call,Rep_D
70221,1394,2024-11-29,meeting,Rep_C
70222,1266,2025-07-24,call,Rep_D
70223,1504,2025-02-02,call,Rep_A
70224,1134,2025-03-02,email,Rep_A
70225,1784,2024-01-19,email,Rep_B
70226,1026,2024-01-13,email,Rep_C
70227,1277,2024-01-21,email,Rep_C
70228,1100,2025-07-26,chat,Rep_A
70229,1442,2025-07-19,chat,Rep_B
70230,1425,2024-07-12,email,Rep_A
70231,1030,2024-06-16,meeting,Rep_B
70232,1645,2024-03-25,call,Rep_C
70233,1496,2024-07-08,chat,Rep_D
70234,1651,2024-08-01,email,Rep_B
70235,1191,2025-03-07,call,Rep_C
70236,1187,2025-05-14,email,Rep_B
70237,1140,2025-03-06,email,Rep_D
70238,1320,2025-01-08,email,Rep_D
70239,1749,2025-03-17,email,Rep_A
70240,1369,2025-03-02,email,Rep_D
70241,1297,2024-10-01,email,Rep_D
70242,1200,2024-07-12,call,Rep_A
70243,1796,2024-06-12,call,Rep_D
70244,1379,2025-01-26,chat,Rep_A
70245,1080,2025-07-07,email,Rep_B
70246,1447,2024-12-01,chat,Rep_C
70247,1501,2025-06-10,call,Rep_A
70248,1259,2024-01-09,email,Rep_B
70249,1613,2025-04-03,call,Rep_D
70250,1544,2025-05-07,call,Rep_B
70251,1789,2024-12-30,email,Rep_A
70252,1121,2025-06-22,call,Rep_A
70253,1055,2024-12-06,call,Rep_A
70254,1493,2024-05-18,chat,Rep_A
70255,1018,2024-05-04,chat,Rep_B
70256,1309,2024-11-16,call,Rep_C
70257,1633,2025-06-07,call,Rep_C
70258,1110,2024-02-11,chat,Rep_B
70259,1331,2024-12-14,chat,Rep_C
70260,1573,2025-03-20,meeting,Rep_D
70261,1264,2024-03-07,call,Rep_B
70262,1268,2024-03-08,email,Rep_B
70263,1435,2024-07-30,meeting,Rep_B
70264,1450,2024-06-07,email,Rep_C
70265,1297,2024-04-24,call,Rep_B
70266,1639,2024-04-24,email,Rep_B
70267,1137,2024-03-16,email,Rep_A
70268,1590,2024-12-18,email,Rep_A
70269,1719,2025-02-01,meeting,Rep_C
70270,1397,2025-02-09,call,Rep_A
70271,1184,2024-11-03,email,Rep_D
70272,1412,2025-07-03,call,Rep_A
70273,1601,2025-05-23,chat,Rep_A
70274,1320,2025-07-06,email,Rep_B
70275,1741,2024-08-12,call,Rep_D
70276,1576,2025-05-21,email,Rep_D
70277,1326,2025-03-16,chat,Rep_A
70278,1567,2024-07-15,email,Rep_C
70279,1417,2024-03-02,chat,Rep_B
70280,1793,2025-01-28,email,Rep_C
70281,1791,2024-03-19,email,Rep_C
70282,1700,2024-06-18,email,Rep_C
70283,1703,2024-10-15,email,Rep_D
70284,1785,2025-01-27,call,Rep_C
70285,1607,2025-06-18,email,Rep_C
70286,1090,2024-12-08,email,Rep_D
70287,1759,2025-01-22,call,Rep_A
70288,1441,2024-06-27,meeting,Rep_D
70289,1075,2025-01-31,meeting,Rep_D
70290,1574,2024-09-09,call,Rep_A
70291,1734,2025-05-09,chat,Rep_C
70292,1267,2024-08-14,call,Rep_C
70293,1633,2024-09-27,email,Rep_A
70294,1312,2024-09-06,email,Rep_C
70295,1483,2025-04-13,email,Rep_A
70296,1028,2025-07-04,email,Rep_D
70297,1342,2024-07-07,chat,Rep_C
70298,1426,2024-10-01,meeting,Rep_C
70299,1786,2025-02-11,email,Rep_B
70300,1535,2025-05-31,email,Rep_C
70301,1410,2024-10-11,call,Rep_B
70302,1611,2024-03-03,chat,Rep_C
70303,1285,2024-07-31,email,Rep_B
70304,1622,2024-11-13,email,Rep_A
70305,1715,2024-08-28,chat,Rep_C
70306,1106,2024-04-17,chat,Rep_A
70307,1504,2024-01-22,email,Rep_B
70308,1046,2025-01-31,email,Rep_B
70309,1769,2025-07-26,call,Rep_B
70310,1447,2025-06-14,meeting,Rep_B
70311,1144,2025-01-29,email,Rep_D
70312,1537,2025-04-30,chat,Rep_A
70313,1062,2024-05-27,email,Rep_B
70314,1742,2024-12-25,call,Rep_C
70315,1082,2024-02-04,call,Rep_B
70316,1336,2025-02-12,email,Rep_A
70317,1211,2025-07-13,email,Rep_D
70318,1400,2025-05-11,email,Rep_A
70319,1709,2024-11-04,meeting,Rep_C
70320,1347,2025-03-31,email,Rep_D
70321,1198,2025-06-28,call,Rep_A
70322,1377,2024-05-04,call,Rep_B
70323,1162,2025-04-02,call,Rep_C
70324,1208,2024-06-04,chat,Rep_C
70325,1427,2025-05-20,call,Rep_D
70326,1044,2024-02-26,call,Rep_A
70327,1800,2024-04-12,call,Rep_C
70328,1491,2025-02-19,call,Rep_D
70329,1279,2024-04-10,email,Rep_B
70330,1787,2024-04-01,meeting,Rep_B
70331,1733,2024-11-16,email,Rep_D
70332,1797,2025-04-26,call,Rep_A
70333,1146,2024-06-03,call,Rep_B
70334,1069,2025-04-30,email,Rep_B
70335,1652,2025-04-11,email,Rep_D
70336,1522,2024-11-30,email,Rep_A
70337,1111,2025-01-08,email,Rep_B
70338,1549,2024-01-24,meeting,Rep_A
70339,1593,2024-07-30,meeting,Rep_D
70340,1608,2024-05-31,email,Rep_A
70341,1055,2024-03-27,email,Rep_A
70342,1644,2024-08-12,meeting,Rep_C
70343,1223,2024-07-23,email,Rep_B
70344,1575,2025-02-24,chat,Rep_B
70345,1524,2024-12-11,email,Rep_B
70346,1146,2025-06-10,call,Rep_A
70347,1264,2024-03-24,email,Rep_D
70348,1544,2024-02-04,email,Rep_A
70349,1468,2024-11-04,email,Rep_B
70350,1561,2024-01-01,call,Rep_B
70351,1187,2025-03-30,email,Rep_B
70352,1343,2024-10-18,call,Rep_B
70353,1099,2024-10-08,email,Rep_D
70354,1679,2024-07-28,email,Rep_C
70355,1306,2024-08-04,email,Rep_A
70356,1725,2024-09-05,email,Rep_D
70357,1199,2024-01-10,email,Rep_C
70358,1758,2024-02-18,email,Rep_B
70359,1154,2024-10-18,call,Rep_D
70360,1096,2024-03-27,chat,Rep_D
70361,1575,2025-03-25,call,Rep_D
70362,1706,2024-06-07,email,Rep_A
70363,1359,2024-02-26,email,Rep_C
70364,1399,2024-05-15,email,Rep_C
70365,1784,2024-07-25,email,Rep_A
70366,1376,2024-01-21,email,Rep_C
70367,1602,2024-03-22,email,Rep_B
70368,1328,2024-07-05,email,Rep_D
70369,1272,2024-06-28,email,Rep_C
70370,1597,2025-04-06,email,Rep_C
70371,1295,2025-05-01,email,Rep_D
70372,1395,2024-04-21,email,Rep_B
70373,1472,2024-03-12,call,Rep_B
70374,1548,2024-12-31,email,Rep_C
70375,1018,2025-04-09,email,Rep_B
70376,1077,2025-07-10,email,Rep_A
70377,1049,2024-01-04,email,Rep_D
70378,1498,2024-08-26,meeting,Rep_D
70379,1426,2025-02-27,email,Rep_A
70380,1748,2025-04-23,email,Rep_B
70381,1556,2024-02-05,call,Rep_B
70382,1621,2025-01-27,call,Rep_D
70383,1129,2024-06-15,meeting,Rep_A
70384,1519,2024-02-13,meeting,Rep_A
70385,1304,2024-10-09,email,Rep_D
70386,1112,2024-04-01,email,Rep_C
70387,1725,2025-03-01,call,Rep_D
70388,1363,2025-03-03,chat,Rep_C
70389,1066,2025-04-30,meeting,Rep_C
70390,1031,2024-08-05,email,Rep_C
70391,1295,2024-01-08,email,Rep_D
70392,1777,2024-05-29,call,Rep_A
70393,1319,2024-09-26,email,Rep_A
70394,1014,2025-02-04,email,Rep_A
70395,1570,2024-08-08,call,Rep_D
70396,1242,2024-11-05,email,Rep_D
70397,1353,2024-10-29,meeting,Rep_B
70398,1248,2024-04-05,meeting,Rep_D
70399,1610,2024-12-25,email,Rep_A
70400,1468,2024-09-10,call,Rep_B
70401,1388,2025-04-11,call,Rep_D
70402,1674,2025-02-02,email,Rep_D
70403,1759,2024-03-05,email,Rep_D
70404,1442,2024-10-09,email,Rep_B
70405,1342,2025-02-09,chat,Rep_B
70406,1516,2024-02-20,email,Rep_C
70407,1773,2025-04-02,email,Rep_B
70408,1045,2024-05-08,email,Rep_A
70409,1419,2024-10-17,email,Rep_A
70410,1723,2025-06-26,email,Rep_D
70411,1756,2024-11-25,email,Rep_A
70412,1203,2024-09-01,email,Rep_A
70413,1715,2024-01-04,call,Rep_A
70414,1539,2024-03-17,call,Rep_A
70415,1386,2024-11-29,call,Rep_B
70416,1630,2024-10-11,email,Rep_A
70417,1738,2024-07-28,call,Rep_D
70418,1360,2025-06-16,email,Rep_B
70419,1468,2024-07-10,email,Rep_C
70420,1205,2024-11-05,email,Rep_A
70421,1247,2024-11-24,email,Rep_C
70422,1049,2024-10-31,email,Rep_C
70423,1366,2024-10-02,email,Rep_D
70424,1253,2024-07-13,email,Rep_C
70425,1078,2025-06-08,email,Rep_A
70426,1769,2024-09-17,email,Rep_D
70427,1632,2024-10-31,chat,Rep_D
70428,1417,2025-01-13,call,Rep_B
70429,1035,2024-02-09,meeting,Rep_D
70430,1438,2025-03-26,call,Rep_C
70431,1312,2024-10-22,email,Rep_A
70432,1143,2025-01-14,chat,Rep_B
70433,1197,2025-03-21,meeting,Rep_C
70434,1260,2025-05-19,email,Rep_D
70435,1366,2024-08-14,email,Rep_A
70436,1596,2025-04-13,email,Rep_D
70437,1192,2024-05-29,meeting,Rep_B
70438,1487,2025-01-16,email,Rep_B
70439,1534,2024-02-29,call,Rep_A
70440,1024,2024-01-12,call,Rep_C
70441,1075,2024-02-25,email,Rep_A
70442,1646,2024-07-03,call,Rep_C
70443,1394,2024-01-18,call,Rep_A
70444,1679,2024-12-29,email,Rep_B
70445,1458,2024-07-01,email,Rep_B
70446,1110,2025-02-28,meeting,Rep_D
70447,1090,2024-01-27,email,Rep_B
70448,1037,2024-05-05,call,Rep_D
70449,1563,2024-08-23,email,Rep_B
70450,1572,2024-08-08,email,Rep_B
70451,1584,2024-03-16,chat,Rep_D
70452,1640,2025-07-27,email,Rep_A
70453,1307,2024-06-13,email,Rep_A
70454,1062,2025-02-20,call,Rep_A
70455,1305,2024-05-06,call,Rep_C
70456,1179,2025-05-21,email,Rep_C
70457,1540,2024-08-11,meeting,Rep_B
70458,1752,2025-06-03,email,Rep_B
70459,1744,2024-07-16,call,Rep_B
70460,1665,2024-01-05,email,Rep_D
70461,1444,2024-10-25,email,Rep_C
70462,1519,2024-10-29,meeting,Rep_C
70463,1577,2024-03-10,call,Rep_A
70464,1635,2024-05-15,call,Rep_C
70465,1036,2025-03-28,email,Rep_D
70466,1750,2024-01-22,chat,Rep_D
70467,1478,2024-10-09,email,Rep_D
70468,1073,2024-11-02,email,Rep_D
70469,1030,2025-02-01,chat,Rep_B
70470,1739,2024-01-22,email,Rep_D
70471,1303,2024-12-03,email,Rep_A
70472,1347,2024-01-02,chat,Rep_D
70473,1797,2024-06-02,chat,Rep_C
70474,1511,2024-10-15,call,Rep_D
70475,1517,2025-06-09,email,Rep_A
70476,1065,2024-03-14,email,Rep_C
70477,1747,2024-04-07,email,Rep_C
70478,1627,2025-01-21,email,Rep_C
70479,1453,2024-08-04,email,Rep_B
70480,1758,2024-12-25,email,Rep_C
70481,1529,2025-07-29,email,Rep_B
70482,1369,2025-07-23,email,Rep_D
70483,1037,2024-07-23,call,Rep_A
70484,1381,2024-10-17,email,Rep_C
70485,1219,2025-06-06,meeting,Rep_D
70486,1649,2024-02-23,email,Rep_B
70487,1246,2024-09-17,email,Rep_B
70488,1550,2024-08-05,call,Rep_A
70489,1251,2024-06-19,email,Rep_D
70490,1565,2025-07-27,email,Rep_A
70491,1346,2025-02-27,call,Rep_A
70492,1715,2024-08-12,email,Rep_C
70493,1472,2025-04-23,chat,Rep_C
70494,1561,2024-10-09,call,Rep_A
70495,1122,2025-05-18,email,Rep_C
70496,1326,2024-06-02,email,Rep_D
70497,1528,2024-05-09,call,Rep_B
70498,1781,2024-05-22,call,Rep_B
70499,1748,2024-11-06,meeting,Rep_C
70500,1121,2024-06-17,call,Rep_D
70501,1139,2024-03-25,email,Rep_C
70502,1087,2025-07-27,email,Rep_D
70503,1130,2025-06-03,call,Rep_B
70504,1252,2025-01-01,email,Rep_D
70505,1787,2025-05-29,call,Rep_B
70506,1360,2025-06-23,call,Rep_C
70507,1430,2025-01-25,call,Rep_D
70508,1047,2024-10-26,email,Rep_C
70509,1591,2025-05-23,call,Rep_A
70510,1501,2024-11-23,email,Rep_A
70511,1425,2024-03-14,call,Rep_C
70512,1375,2024-07-30,call,Rep_B
70513,1731,2024-09-14,email,Rep_D
70514,1111,2025-06-23,email,Rep_C
70515,1227,2025-01-15,call,Rep_B
70516,1787,2025-05-20,email,Rep_D
70517,1768,2025-03-13,email,Rep_C
70518,1039,2024-06-27,chat,Rep_C
70519,1135,2025-02-18,call,Rep_B
70520,1295,2024-04-22,call,Rep_D
70521,1610,2024-08-23,email,Rep_D
70522,1034,2025-04-10,chat,Rep_B
70523,1428,2024-12-19,call,Rep_C
70524,1068,2025-04-21,email,Rep_B
70525,1703,2024-05-26,call,Rep_B
70526,1199,2025-03-08,email,Rep_C
70527,1560,2024-04-26,email,Rep_D
70528,1259,2024-11-10,email,Rep_A
70529,1725,2024-09-07,email,Rep_A
70530,1674,2024-11-17,call,Rep_B
70531,1625,2024-03-19,email,Rep_D
70532,1137,2024-07-27,call,Rep_C
70533,1381,2025-01-19,email,Rep_D
70534,1524,2024-11-18,email,Rep_B
70535,1238,2024-11-12,email,Rep_D
70536,1284,2024-10-21,email,Rep_D
70537,1688,2025-06-28,email,Rep_C
70538,1737,2025-06-23,email,Rep_A
70539,1458,2024-07-26,call,Rep_D
70540,1587,2024-07-22,call,Rep_D
70541,1135,2024-11-16,call,Rep_A
70542,1082,2024-02-25,call,Rep_D
70543,1595,2024-06-23,meeting,Rep_D
70544,1654,2024-05-13,email,Rep_D
70545,1209,2024-05-08,chat,Rep_A
70546,1727,2025-01-03,email,Rep_B
70547,1403,2024-08-09,call,Rep_A
70548,1767,2024-04-08,call,Rep_A
70549,1188,2025-05-27,call,Rep_B
70550,1493,2025-05-19,chat,Rep_C
70551,1759,2025-05-12,email,Rep_A
70552,1255,2024-08-13,email,Rep_D
70553,1323,2024-02-02,email,Rep_C
70554,1674,2024-03-02,email,Rep_C
70555,1425,2024-06-08,call,Rep_B
70556,1415,2024-05-06,email,Rep_C
70557,1167,2025-05-19,meeting,Rep_D
70558,1590,2025-07-23,call,Rep_C
70559,1485,2025-04-16,email,Rep_D
70560,1436,2025-02-25,email,Rep_B
70561,1687,2024-12-05,email,Rep_C
70562,1532,2025-03-20,chat,Rep_A
70563,1608,2025-06-30,call,Rep_B
70564,1481,2024-12-12,email,Rep_B
70565,1180,2024-03-30,email,Rep_D
70566,1607,2024-04-04,email,Rep_B
70567,1071,2024-12-02,email,Rep_A
70568,1702,2024-07-11,call,Rep_C
70569,1441,2025-06-09,call,Rep_C
70570,1644,2024-12-18,email,Rep_C
70571,1139,2025-01-25,meeting,Rep_D
70572,1787,2024-01-04,email,Rep_A
70573,1102,2024-10-14,email,Rep_D
70574,1468,2024-09-05,call,Rep_C
70575,1283,2025-02-11,email,Rep_C
70576,1029,2024-08-08,email,Rep_A
70577,1018,2025-07-17,call,Rep_D
70578,1756,2025-01-21,email,Rep_A
70579,1687,2025-01-15,email,Rep_C
70580,1508,2025-06-14,call,Rep_A
70581,1601,2025-07-28,email,Rep_A
70582,1020,2024-04-24,email,Rep_D
70583,1326,2025-04-12,email,Rep_D
70584,1356,2024-04-03,email,Rep_A
70585,1433,2024-09-20,email,Rep_B
70586,1399,2024-02-27,meeting,Rep_B
70587,1018,2024-12-25,meeting,Rep_D
70588,1550,2024-09-27,email,Rep_C
70589,1376,2024-12-28,meeting,Rep_C
70590,1601,2025-01-26,email,Rep_D
70591,1340,2024-12-23,email,Rep_D
70592,1150,2024-06-18,call,Rep_A
70593,1716,2025-04-27,call,Rep_C
70594,1233,2024-11-14,email,Rep_B
70595,1104,2024-10-09,email,Rep_D
70596,1623,2025-07-23,email,Rep_D
70597,1737,2024-06-12,email,Rep_C
70598,1221,2024-10-31,email,Rep_C
70599,1026,2025-01-28,call,Rep_B
70600,1064,2024-03-13,email,Rep_D
70601,1254,2024-07-23,email,Rep_B
70602,1249,2025-04-07,email,Rep_A
70603,1736,2024-05-16,meeting,Rep_A
70604,1131,2024-10-11,email,Rep_D
70605,1030,2024-12-29,email,Rep_A
70606,1787,2025-01-22,email,Rep_C
70607,1010,2025-02-24,call,Rep_C
70608,1089,2025-05-14,email,Rep_C
70609,1430,2024-08-14,email,Rep_B
70610,1147,2025-02-11,email,Rep_C
70611,1127,2025-02-26,email,Rep_B
70612,1698,2024-06-22,email,Rep_D
70613,1124,2025-07-12,email,Rep_D
70614,1619,2025-05-14,email,Rep_C
70615,1341,2024-06-16,call,Rep_C
70616,1518,2025-01-24,email,Rep_D
70617,1051,2025-02-18,call,Rep_B
70618,1398,2024-09-05,email,Rep_B
70619,1314,2025-05-13,chat,Rep_B
70620,1648,2025-02-02,chat,Rep_A
70621,1514,2025-01-14,call,Rep_A
70622,1502,2024-05-07,chat,Rep_C
70623,1530,2024-08-23,email,Rep_C
70624,1761,2024-09-07,call,Rep_D
70625,1697,2025-02-27,email,Rep_C
70626,1734,2024-12-22,call,Rep_D
70627,1740,2024-02-19,email,Rep_A
70628,1419,2024-06-26,email,Rep_C
70629,1194,2024-09-29,chat,Rep_B
70630,1312,2025-03-01,email,Rep_D
70631,1722,2025-03-05,call,Rep_B
70632,1299,2024-10-10,call,Rep_A
70633,1329,2024-03-08,email,Rep_B
70634,1476,2024-06-18,email,Rep_B
70635,1584,2024-05-26,email,Rep_C
70636,1117,2025-03-26,chat,Rep_B
70637,1264,2024-04-13,chat,Rep_B
70638,1517,2024-09-25,call,Rep_A
70639,1781,2025-01-22,meeting,Rep_B
70640,1519,2025-07-10,email,Rep_D
70641,1021,2025-07-30,email,Rep_B
70642,1477,2025-07-03,email,Rep_D
70643,1549,2025-02-18,call,Rep_C
70644,1173,2025-03-06,email,Rep_D
70645,1062,2025-03-14,call,Rep_D
70646,1206,2025-05-12,call,Rep_C
70647,1613,2025-07-03,email,Rep_C
70648,1631,2024-09-14,email,Rep_A
70649,1179,2024-08-28,email,Rep_D
70650,1644,2024-09-22,call,Rep_C
70651,1342,2025-01-15,email,Rep_B
70652,1440,2025-03-23,email,Rep_A
70653,1075,2025-05-17,call,Rep_B
70654,1290,2024-09-20,email,Rep_B
70655,1557,2024-07-28,email,Rep_C
70656,1144,2025-07-21,call,Rep_A
